source_mizo,reference_english,baseline_prediction
Mizoram football-ah tun hmain 'rivalry' hmuhnawm leh chanchin ngaihnawm a awm á¹­hin.,"""In the past, there were entertaining rivalries and interesting stories in Mizoram football.""","""In Mizoram football, there used to be entertaining 'rivalry' and interesting stories in the past."""
Istanbul ah mosque eng zat nge awm?,How many mosques are there in Istanbul?,How many mosques are there in Istanbul?
Fadil-a chhungte khua ah an lo kal.,Fadil's family has come to town.,Fadil's family came to town.
Hetianga CSS hnuaia thawktu ten lungawi lohna an lantir avang hian hmun hrang hrangah sawrkar hnathawh a khaihlak.,"""Because workers under CSS expressed their dissatisfaction in this way, government work has been disrupted in various places.""",Government work is disrupted in various places due to these protests by CSS employees.
Liani chuan ka á¹­anpuina a mamawh thu min hrilh a.,Liani told me she needed my help.,Liani told me she needed my help.
Tunah Boston-ah vur a tla mek.,It's snowing now in Boston.,It's snowing in Boston now.
Petera ten Ka neih chhun Nazareth Isua hmingin an tia mi dang tihdam nan an hmang thei hial.,"""Peter and his companions said, """"What I have, [I give you] in the name of Jesus of Nazareth,"""" and they could even use it to heal others.""","""In the name of Jesus, the only one I have, Peter, could even use it to heal others."""
He thilah hian Indian thuneitute aá¹­anga sawi engmah a la awm lo va.,There has been no official statement from the Indian authorities on this matter.,"""In this matter, there is still nothing to say from the Indian authorities."""
Arunachal Pradesh-ah Covid-19 kai zinga pakhat chu Nilaini khan a thi.,One of those infected with Covid-19 in Arunachal Pradesh died on Wednesday.,One of those infected with Covid-19 died on Wednesday in Arunachal Pradesh.
Zirtawp zana inkhel dangah Germany chu Bosnia and Herzegovina hmachhawn turin Bilino Polje-ah an lenglut.,"""In another match on Friday night, Germany visited Bilino Polje to face Bosnia and Herzegovina.""","""In another match on Friday night, Germany visited Bilino Polje to face Bosnia and Herzegovina."""
Chhani chuan a tap lo ang tih min tiam.,Chhani promised me she wouldn't cry.,Chhani promised me she wouldn't cry.
Fela a buai a vawiinah a hmu thei lo che.,Fela is busy and can't meet with you today.,Fela can't see you today when he's busy.
Hminga chuan zawhna chu a pumpelh.,Hminga sidestepped the question.,Hminga avoided the question.
Stephen chuan mawhphurhna a la lo.,Stephen isn't taking the blame.,Stephen didn't take the responsibility.
Chuti a nih chuan tlarhmaah Sunil Chhetri a mal tlat leh ang.,"""In that case, Sunil Chhetri will be isolated upfront.""","""If so, Sunil Chhetri will be alone in the forward line again."""
Sorkar hriatpuia bungraw phur lawng chu Port Qasim atangin a chhuak tih chanchinbuten an tar lang.,Newspapers reported that the cargo ship left Port Qasim with the government's knowledge.,Newspapers reported that the cargo ship known to the government left Port Qasim.
Pu Vanlawma DSCO Hnathial chu khualzahawm a ni.,"""Pu Vanlawma, DSCO Hnahthial, was the chief guest.""",Pu Vanlawma DSCO Hnathial was the Guest of Honour.
Zuala chuan buaina chin fel a duh hmel loh.,Zuala doesn't seem to be willing to tackle the problem.,Zuala didn't seem to want to solve the problem.
CM hian tawngkam ngeia tihhlawhtling a tiam thu an sawi.,They said that the CM promised verbally to implement it.,The CM said that he promised to fulfill it with words.
"""Kumin, 2023 aá¹­angin AAP-in Mizoramah bul an tan.""","""Starting this year, 2023, AAP has established itself in Mizoram.""","""Since this year, 2023, AAP has started in Mizoram."""
Chelsea-in goal an chhuah hnuah an nawr zui.,"""After Chelsea conceded a goal, they continued to press.""","""After Chelsea conceded a goal, they subsequently pressed."""
Bus-a lehkha an hmuhah hian Anil Jaani tih hming a inziak.,The name Anil Jaani was written on the paper found on the bus.,Anil Jaani's name is written when they see a letter on the bus.
State pawn player Sowkin Shetty a rawn thleng tawh bawk.,State-level player Sowkin Shetty also arrived.,State player Sowkin Shetty has also arrived.
Liana chuan Zoremi lakah hian tawngkam hmangin a bengchheng ta hle mai.,Liana became verbally aggressive towards Zoremi.,Liana became very verbally aggressive towards Zoremi.
Chhani chuan chutiang chu a ti mai thei tih a sawi.,Chhani said she might possibly do that.,Chhani said she might do that.
Muana chuan Thari thutlukna siam chu a dik a ti.,Muana thinks Thari made the right choice.,Muana thinks Thari's decision is true.
Chinese khawpui hian khaw lum uchuak tak a tuar rei ta hle.,This Chinese city has been suffering from extreme heat for a long time.,The Chinese city has suffered from extreme heat for a long time.
Faka thihna thut chuan a thawhpuite a thawng hle.,Faka's unexpected death devastated his work colleagues.,Faka's death suddenly shocked his colleagues.
Kima a tha em ka hre chak.,I wonder whether Kima is feeling OK.,I wonder whether Kima is OK.
Inkhel tantir lam minute thum chhungin Mathys Tel chuan goal khungna remchang vawi hnih ngawt a nei hman!,"""Within the first three minutes of the match, Mathys Tel already had two scoring opportunities!""","""Within the first three minutes of the match, Mathys Tel managed to score only two chances!"""
Daktawr thiam kalkhawmte hian COVID-19 hrik hn athawh dan an sawi.,The gathered medical experts discussed how the COVID-19 virus works.,The doctors gathered discussed how to treat the COVID-19 virus.
Sangpuia chuan bill chu a pe duh lo.,Sangpuia didn't want to pay the bill.,Sangpuia refused to pay the bill.
Hei hi veiin CM-in YMA Inkhawmpui Lianah a sawi chhuak.,"""Concerned by this, the CM spoke out about it at the YMA General Conference.""",The CM attended and spoke about this at the YMA Conference Liana.
Liani chuan Mawia-an a ti dawn tih a chian thu a sawi.,Liani said that she was very sure that Mawia would do that.,Liani said she's sure Mawia will do that.
Toma'n Rini a star hle.,Tom definitely has a crush on Rini.,Tom stared at Rini.
Mamit Aspirational District ah chhungkaw 500 in pangang khawi á¹­anpuina an dawng tawh.,"""In Mamit Aspirational District, 500 families have received assistance for silkworm rearing.""","""In Mamit Aspirational District, 500 families have received assistance from silkworm rearing."""
Mr. Mawia Jackson chu anti-American tak a ni tih a hriat theih.,One could feel that Mr. Mawia Jackson was aggressively anti-American.,It can be known that Mr. Mawia Jackson is an anti-American.
Muana chuan nipui lo awm tur hian Boston-ah a kal dawn lo tih a sawi.,Muana said he wasn't going to Boston next summer.,Muana said that he won't go to Boston next summer.
A ti tur a ni tih Chhana hrilh rawh.,Please tell Chhana he should do that.,Please tell Chhana he ought to do that.
"""Inthlan a lo hnaih tawh thu pawh sawiin, Party induhsak theihna turin MPSC thuneihna a pawngsual mek tih a sawi.""","""He also mentioned that with the election approaching, the MPSC's authority is being violated to favor the Party.""","""He also said that the election is approaching, and he said that MPSC's power is currently being encroached on to strengthen the Party."""
He filmah hian Anil Kapoor leh Urmila Matondkar-te pawh an inlan.,Anil Kapoor and Urmila Matondkar also appear in this film.,Anil Kapoor and Urmila Matondkar also appeared in this film.
A hnung bera kal Fakawma chu an kap fuh.,"""They shot Fakawma, who was walking at the very back.""",They shot Faka in the back.
Fela nen hian French tawng kan thiam lo.,Fela and I aren't good at French.,Fela and I don't speak French.
"""Jampui tlangdung, Mizo khaw 10 emaw lek awmna hi Mizoram dep khawthlang lama awm a ni.""","""The Jampui range, where there are only about 10 Mizo villages, is located on the western border of Mizoram.""","""The Jampui range, located only 10 Mizo villages, is located in the west of Mizoram."""
Zuala chu thlasik chawlh ah ski turin a kal thin.,Zuala usually goes skiing for winter vacation.,Zuala used to go skiing on winter vacations.
Hemi hnu hian Tumblr lamah an inbe zui á¹­hin.,"""After this, they used to communicate on Tumblr.""","""After this, they continued to talk at Tumblr."""
A farnu Puii nen pindan an in tawm.,Tom shared a room with his younger sister Puii.,Tom shares a room with his sister Puii.
Sam-a chu a tleirÃ¢wl ve á¹­an tihin an sumdÃ¢wnna thilah á¹­ha zÃ¢wk dÃ¢wna an rin avÃ¢ngin an chhÃ»ngkua chuan America ram lamah an pÃªm thla a.,"""When Sam was just entering his teens, his family immigrated to America because they believed it would be better for their business.""","""When Sam became a teenager, his family moved down to America believing he would be better off on business matters."""
Hruaia chuan a pui ang che.,Hruaia will help you.,Hruaia is going to help you.
Muana chuan Thari-in a nuih chhan a hrethiam lo.,Muana couldn't understand why Thari laughed at him.,Muana didn't understand why Thari smiled at him.
Puia nui turin ka ti.,I asked Puia to smile.,I asked Puia to smile.
Hriatkima te hian hei hi an thiam tawh tur a ni.,Hriatkima should get used to this.,Hriatkima should be able to do this by now.
IWRD chu Mizoram ei leh bara a intodelh theihna tura fawng pawihmawh tak chelhtu an ni.,IWRD holds a key responsibility in making Mizoram self-sufficient in food and resources.,IWRD is the holder of an important route for Mizoram's self-sufficiency.
Inkhel dangah Denis Shapovalov erawh a chak lo.,"""In another match, Denis Shapovalov lost.""","""In another match, however, Denis Shapovalov lost."""
Hriata ang em in French ka hmang thiam lo.,I don't speak French as well as Hriata.,I can't speak French as well as Hriata can.
Kunga-an tun tum chu Mary tan chu chu a ti dawn tih a sawi.,Kunga said that he'd do that for Mary this time.,Kunga said that he'd do that for Mary this time.
Adama leh Evi bawhchhiat hma kha mihring famkim awm dan tur chu a ni.,The state before Adam and Eve's transgression represents how perfect human beings were intended to be.,"""Before the transgression of Adam and Eve, it was the way of a perfect human being."""
Vawiin hian Aizawlah an rawn thlen leh beisei a ni.,It is expected that they will arrive in Aizawl again today.,It is expected that they will arrive again in Aizawl today.
Zira chu hma lamah a thu dawn.,Zira will be sitting in the front.,Zira is going to sit in the front.
FC Bethlem lakah nuamsa taka chak Aizawl FC hian MPL 11 round 11 thlengin tlawm an nei lo.,"""Aizawl FC, who won easily against FC Bethlem, remained unbeaten until round 11 of MPL 11.""","""Aizawl FC, who won comfortably against FC Bethlehem, lost to 11 MPL rounds."""
Bena chuan Duati chungchang min vaukhan a.,Bena warned me about Duati.,Bena warned me about Duati.
"""Chance pek leh an ti tlu a, Thanga leh Puii te chuan.""",Thanga and Puii have decided to give John a second chance.,Thanga and Puii missed the chance they'd given them again.
Muani leh Mawia te hi sumdawnna hrang hrangah an awm a.,Muani and Mawia were in different businesses.,Muani and Mawia are in various businesses.
Duhkima hi Bible zirlai zirtirtu a ni a.,Duhkima was a Bible studies teacher.,Duhkima is a Bible student.
Mr. Legros chuan a hnung lam aá¹­angin alphabet a sawi thei.,Mr. Legros can say the alphabet backwards.,Mr. Legros can speak the alphabet from behind.
Siampuia chuan a nupui chan a duh lo.,Siampuia didn't want to lose his wife.,Siampuia didn't want to lose his wife.
"""UDPA deputy director C Laltleipuii chuan, Mizoram khawpui fai inelna chungchang a sawifiah bawk.""",UDPA deputy director C Laltleipuii explained about the cleanliness competition among towns in Mizoram.,UDPA deputy director C Laltleipuii also explained the cleanliness competition in Mizoram.
Mizo thalai 1000 Taiwan-a hna thawk tura thawn tum a ni.,It is intended to send 1000 Mizo youths to work in Taiwan.,It is intended to send 1000 Mizo youths to work in Taiwan.
Hming langsar tak tak zingah hian BJP hruaitute hian rin loh tak pawh an thlang thei nia sawi a ni mek bawk.,"""Among the prominent names, it is currently being said that BJP leaders might even choose an unexpected one.""","""It is also said that among the prominent names, BJP leaders can also choose unexpectedly."""
"""Mizoram-ah pawh Mizo nilo, Mara, Lai leh Sinlung intite pawh kan awm nuk a.""","""In Mizoram too, there are many of us who are non-Mizos, calling ourselves Mara, Lai and Sinlung.""","""In Mizoram too, there are non-Mizos who call themselves Mara, Lai, and Sinlung."""
Tunah chuan Kunga-an Mary-i biak a duh lo.,Kunga doesn't want to talk to Mary right now.,Kunga doesn't want to talk to Mary right now.
Zama chuan khaw chhe hnuaia motor khalh a hua.,Zama hates driving when it's foggy.,Zama hates driving downtown.
Mahse Muslim leh Buddhist Danah chuan phal a ni.,"""However, it is permitted under Muslim and Buddhist law.""","""But in Muslim and Buddhist laws, it is allowed."""
